Date,SP_500,VN_30,VN_Index,VN_Index_volum,XAU_USD,XAU_USD_volum,USD_VND,USD_VND_volum,Gold,Gold_volum,Oil,Oil_volum,Bitcoin,Bitcoin_volum,FPT
2022-11-13,3969.1433333333334,940.4933333333333,945.5366666666666,-0.6833333333333331,1771.43,0.34333333333333327,24758.333333333332,-0.26666666666666666,1771.066650390625,324.3333333333333,94.08999888102214,23182.333333333332,16353.365234375,27209183682.0,60812.333333333336
2022-11-14,3957.25,936.31,941.04,-1.41,1771.8,0.06,24735.0,-0.28,1773.5999755859375,358.0,93.13999938964844,22959.0,16618.19921875,49630243054.0,60245.0
2022-11-15,3991.73,904.77,911.9,-3.1,1778.25,0.36,24765.0,0.12,1773.800048828125,57.0,93.86000061035156,30904.0,16884.61328125,36599436183.0,56076.0
2022-11-16,3958.79,940.29,942.9,3.4,1773.77,-0.25,24775.0,0.04,1773.0,303.0,92.86000061035156,22376.0,16669.439453125,33925512989.0,58969.0
2022-11-17,3946.56,971.04,969.26,2.8,1760.87,-0.73,24805.0,0.12,1760.800048828125,18.0,89.77999877929688,29012.0,16687.517578125,27868914022.0,60415.0
2022-11-18,3965.34,971.2,969.33,0.01,1749.74,-0.63,24800.0,-0.02,1751.9000244140625,414.0,87.62000274658203,34614.0,16697.77734375,26862218609.0,60841.0
2022-11-19,3960.206666666667,966.4300000000001,966.4366666666667,-0.29333333333333333,1745.7633333333333,-0.6466666666666667,24811.666666666668,0.03333333333333334,1747.0666910807292,457.3333333333333,87.56333414713542,36354.333333333336,16711.546875,16106223492.0,60444.0
2022-11-20,3955.0733333333333,961.66,963.5433333333333,-0.5966666666666667,1741.7866666666666,-0.6633333333333333,24823.333333333332,0.08666666666666667,1742.2333577473958,500.6666666666667,87.5066655476888,38094.666666666664,16291.83203125,21313378652.0,60047.0
2022-11-21,3949.94,956.89,960.65,-0.9,1737.81,-0.68,24835.0,0.14,1737.4000244140625,544.0,87.44999694824219,39835.0,15787.2841796875,37429485518.0,59650.0
2022-11-22,4003.58,945.54,952.12,-0.89,1740.24,0.14,24850.0,0.06,1738.300048828125,15.0,88.36000061035156,23782.0,16189.76953125,30726828760.0,59990.0
