Date,EUR
2022-03-29,1723.83
2022-03-30,1733.31
2022-03-31,1752.53
2022-04-01,1747.64
2022-04-04,1758.82
2022-04-05,1781.24
2022-04-06,1769.48
2022-04-07,1776.59
2022-04-08,1785.69
2022-04-11,1794.03
2022-04-12,1808.57
2022-04-13,1816.53
2022-04-14,1815.13
2022-04-15,1815.13
2022-04-18,1815.13
2022-04-19,1819.19
2022-04-20,1797.98
2022-04-21,1792.42
2022-04-22,1801.23
2022-04-25,1768.55
2022-04-26,1786.85
2022-04-27,1785.29
2022-04-28,1796.35
2022-04-29,1811.83
2022-05-02,1811.83
2022-05-03,1777.96
2022-05-04,1766.66
2022-05-05,1800.3
2022-05-06,1781.01
2022-05-09,1759.88
2022-05-10,1763.2
2022-05-11,1758.57
2022-05-12,1773.56
2022-05-13,1740.37
2022-05-16,1735.73
2022-05-17,1731.01
2022-05-18,1726.57
2022-05-19,1740.77
2022-05-20,1738.74
2022-05-23,1738.5
2022-05-24,1739.91
2022-05-25,1733.65
2022-05-26,1726.37
2022-05-27,1729.04
2022-05-30,1719.78
2022-05-31,1713.29
2022-06-01,1734.09
2022-06-02,1734.09
2022-06-03,1734.09
2022-06-06,1726.19
2022-06-07,1728.44
2022-06-08,1727.05
2022-06-09,1731.93
2022-06-10,1740.04
2022-06-13,1754.19
2022-06-14,1745.01
2022-06-15,1756.65
2022-06-16,1729.64
2022-06-17,1759.22
2022-06-20,1745.22
2022-06-21,1746.96
2022-06-22,1741.7
2022-06-23,1752.69
2022-06-24,1730.78
2022-06-27,1723.25
2022-06-28,1728.64
2022-06-29,1740.14
2022-06-30,1733.28
2022-07-01,1727.99
2022-07-04,1735.01
2022-07-05,1729.62
2022-07-06,1724.47
2022-07-07,1721.27
2022-07-08,1709.65
2022-07-11,1728.93
2022-07-12,1720.04
2022-07-13,1710.57
2022-07-14,1702.23
2022-07-15,1692.44
2022-07-18,1690.81
2022-07-19,1672.74
2022-07-20,1677.26
2022-07-21,1674.62
2022-07-22,1697.57
2022-07-25,1681.73
2022-07-26,1698.48
2022-07-27,1695.23
2022-07-28,1726.23
2022-07-29,1719.53
2022-08-01,1725.13
2022-08-02,1745.71
2022-08-03,1735.22
2022-08-04,1741.92
2022-08-05,1741.38
2022-08-08,1749.75
2022-08-09,1756.95
2022-08-10,1738.55
2022-08-11,1739.3
2022-08-12,1747.2
2022-08-15,1745.87
2022-08-16,1745.87
2022-08-17,1738.51
2022-08-18,1749.8
2022-08-19,1744.47
2022-08-22,1745.12
2022-08-23,1750.23
2022-08-24,1753.89
2022-08-25,1760.42
2022-08-26,1754.76
2022-08-29,1754.76
2022-08-30,1726.16
2022-08-31,1706.68
2022-09-01,1705.04
2022-09-02,1717.65
2022-09-05,1723.18
2022-09-06,1718.24
2022-09-07,1707.26
2022-09-08,1714.67
2022-09-09,1704.2
2022-09-12,1701.89
2022-09-13,1705.19
2022-09-14,1704.41
2022-09-15,1688.09
2022-09-16,1663.49
2022-09-19,1663.49
2022-09-20,1667.48
2022-09-21,1693.77
2022-09-22,1699.03
2022-09-23,1693.16
2022-09-26,1707.91
2022-09-27,1705.59
2022-09-28,1702.9
2022-09-29,1692.72
2022-09-30,1707.61
2022-10-03,1701.06
2022-10-04,1720.01
2022-10-05,1724.12
2022-10-06,1748.65
2022-10-07,1737.68
2022-10-10,1729.83
2022-10-11,1704.76
2022-10-12,1725.17
2022-10-13,1686.04
2022-10-14,1697.16
2022-10-17,1691.99
2022-10-18,1677.15
2022-10-19,1670.8
2022-10-20,1668.16
2022-10-21,1670.14
2022-10-24,1670.7
2022-10-25,1666.92
2022-10-26,1654.18
2022-10-27,1663.41
2022-10-28,1658.16
2022-10-31,1657.73
2022-11-01,1664.9
2022-11-02,1669.59
2022-11-03,1671.03
2022-11-04,1687.39
2022-11-07,1675.26
2022-11-08,1664.01
2022-11-09,1710.63
2022-11-10,1720.15
2022-11-11,1701.17
2022-11-14,1711.4
2022-11-15,1705.68
2022-11-16,1707.43
2022-11-17,1699.13
2022-11-18,1695.15
2022-11-21,1700.77
2022-11-22,1692.84
2022-11-23,1679.03
2022-11-24,1686.43
2022-11-25,1683.5
2022-11-28,1684.23
2022-11-29,1695.07
2022-11-30,1699.95
2022-12-01,1715.98
2022-12-02,1695.56
2022-12-05,1693.0
2022-12-06,1692.23
2022-12-07,1694.43
2022-12-08,1697.79
2022-12-09,1703.16
2022-12-12,1696.03
2022-12-13,1717.9
2022-12-14,1697.38
2022-12-15,1682.75
2022-12-16,1690.29
2022-12-19,1685.46
2022-12-20,1708.81
2022-12-21,1714.51
2022-12-22,1701.18
2022-12-23,1701.18
2022-12-26,1701.18
2022-12-27,1701.18
2022-12-28,1696.63
2022-12-29,1697.95
2022-12-30,1697.95
2023-01-02,1697.95
2023-01-03,1747.82
2023-01-04,1751.01
2023-01-05,1741.69
2023-01-06,1741.12
2023-01-09,1747.77
2023-01-10,1750.19
2023-01-11,1742.21
2023-01-12,1735.23
2023-01-13,1761.31
2023-01-16,1772.7
2023-01-17,1775.0
2023-01-18,1779.08
2023-01-19,1773.85
2023-01-20,1775.08
2023-01-23,1762.73
2023-01-24,1764.75
2023-01-25,1771.54
2023-01-26,1778.6
2023-01-27,1769.62
2023-01-30,1772.06
2023-01-31,1770.73
2023-02-01,1765.58
2023-02-02,1761.53
2023-02-03,1732.42
2023-02-06,1748.58
2023-02-07,1738.41
2023-02-08,1745.57
2023-02-09,1748.16
2023-02-10,1743.25
2023-02-13,1731.71
2023-02-14,1737.23
2023-02-15,1716.7
2023-02-16,1710.42
2023-02-17,1717.34
2023-02-20,1727.31
2023-02-21,1722.96
2023-02-22,1727.28
2023-02-23,1725.13
2023-02-24,1717.03
2023-02-27,1715.55
2023-02-28,1720.35
2023-03-01,1726.44
2023-03-02,1735.54
2023-03-03,1732.85
2023-03-06,1730.51
2023-03-07,1728.54
2023-03-08,1722.43
2023-03-09,1731.49
2023-03-10,1744.54
2023-03-13,1779.94
2023-03-14,1777.28
2023-03-15,1821.92
2023-03-16,1815.29
2023-03-17,1838.38
2023-03-20,1837.77
2023-03-21,1813.92
2023-03-22,1805.79
2023-03-23,1819.81
2023-03-24,1852.63
2023-03-27,1803.59
2023-03-28,1810.41
2023-03-29,1814.74
2023-03-30,1802.66
2023-03-31,1821.42
2023-04-03,1821.38
2023-04-04,1835.92
2023-04-05,1863.68
2023-04-06,1830.89
2023-04-07,1830.89
2023-04-10,1830.89
2023-04-11,1837.51
2023-04-12,1826.3
2023-04-13,1852.79
2023-04-14,1839.5
2023-04-17,1828.77
2023-04-18,1822.61
2023-04-19,1815.2
2023-04-20,1830.17
2023-04-21,1797.66
2023-04-24,1792.82
2023-04-25,1812.0
2023-04-26,1814.15
2023-04-27,1803.66
2023-04-28,1797.25
2023-05-01,1797.25
2023-05-02,1814.0
2023-05-03,1823.39
2023-05-04,1854.6
2023-05-05,1813.77
2023-05-08,1813.77
2023-05-09,1853.22
2023-05-10,1857.02
2023-05-11,1845.26
2023-05-12,1861.32
2023-05-15,1856.7
