Date,Close,High,Low,Open,Volume
2020-08-13,2017.714599609375,2046.5269878440322,2017.714599609375,2030.425947359959,408543
2020-08-14,1980.4278564453125,2023.6464361109997,1949.5562897232362,2019.409320457501,306510
2020-08-17,2016.866943359375,2032.1205588973871,1960.0895966345524,1960.0895966345524,533016
2020-08-18,1986.35986328125,2026.1887513248585,1974.4959391831537,1978.7330549324738,469092
2020-08-19,2027.0360107421875,2027.0360107421875,1977.8854720201778,1987.2071259157315,514194
2020-08-20,1964.326904296875,2016.0197175678454,1964.326904296875,1992.2918688533016,432081
2020-08-21,1944.836181640625,1982.9702244178923,1932.9722572210308,1972.8011463439543,526131
2020-08-24,2014.32470703125,2014.3247070312498,1932.9720894986458,1965.1741672719681,491337
2020-08-25,2008.392822265625,2038.9000550089004,2001.613437211564,2032.9680930865968,575630
2020-08-26,2068.559814453125,2069.407237564331,1989.7494651109946,2005.850504223903,754315
2020-08-27,2011.7825927734375,2083.8135617649045,2011.7825927734375,2083.8135617649045,587327
2020-08-28,2012.6297607421875,2032.9679141138981,1989.7493381990132,2028.7307988281252,682345
2020-09-01,2005.850341796875,2049.0689169686707,1979.5802274767639,2015.1719952653016,688103
2020-09-02,2083.8134765625,2105.8464779413634,2016.8670492959536,2020.2567418157787,710924
2020-09-03,2047.3743896484375,2124.4898985300633,2044.8321201248675,2118.5579363084,517055
2020-09-04,2055.84814453125,2093.9821785394556,2034.6625700822472,2041.4419539059281,468691
2020-09-07,2138.89599609375,2139.743419230079,2048.2217205065745,2060.9330675515057,490113
2020-09-08,2167.708251953125,2180.4195982311926,2107.5412129036054,2152.454636419444,796875
2020-09-09,2210.07958984375,2226.180629800434,2156.6919310400094,2157.539354195624,832245
2020-09-10,2208.384521484375,2227.875252103769,2173.6401755976294,2218.553598329276,547403
2020-09-11,2207.536865234375,2208.384288215271,2174.4873689794267,2202.452327348998,523898
2020-09-14,2211.7744140625,2250.7558788314177,2184.656873353688,2238.891954771312,489860
2020-09-15,2223.637939453125,2237.467940664396,2190.588442639607,2216.0111324961595,623601
2020-09-16,2249.060546875,2251.6028157674737,2214.316205344527,2220.2481660936323,1077700
2020-09-17,2204.99462890625,2238.0441256500408,2196.520398971945,2215.1637048274165,910989
2020-09-18,2109.236083984375,2204.9948937434083,2078.7288525567183,2186.3515856487293,2258948
2020-09-21,1982.969970703125,2093.982392139924,1967.7163555438701,2090.5926998823115,965651
2020-09-22,1981.2752685546875,2010.0876548382032,1956.699997901101,2010.0876548382032,641927
2020-09-23,2007.5452880859375,2031.2731344626393,1974.3263445366356,2011.7824035103486,498155
2020-09-24,1957.5474853515625,1990.5969883510043,1952.4629464285713,1971.9536789667038,882726
2020-09-25,1934.6668701171875,1966.342617626207,1910.9390241411554,1960.0895622343648,664428
2020-09-28,1990.5970458984375,1995.6815849684208,1958.3372426934702,1963.4795041918603,735036
2020-09-29,2002.4608154296875,2014.324739008196,1973.6484295961668,1982.9700838364236,902445
2020-09-30,1997.3760986328125,2008.39259811615,1968.563715368699,1988.0544452238346,734417
2020-10-01,2025.34130859375,2046.5268871355256,2007.5454226186584,2007.5454226186584,525815
2020-10-02,2055.000732421875,2058.390424351643,1994.6878429530084,2003.3079304929124,888645
2020-10-05,2080.423583984375,2121.947313359216,2070.2545074027817,2070.2545074027817,611948
2020-10-06,2060.08544921875,2099.0669097963155,2059.238026162716,2077.881333395465,516396
2020-10-07,2075.339111328125,2097.372111285059,2041.4421883174573,2049.0689959948577,1433980
2020-10-08,2066.017822265625,2086.3559796628256,2031.2734700454075,2086.3559796628256,1090265
2020-10-09,2051.611083984375,2074.491504995353,2045.6791229815287,2045.6791229815287,1183999
2020-10-12,2045.6795654296875,2089.0506260416655,2044.8321422459967,2059.238336368741,823571
2020-10-13,2021.95166015625,2056.8418674691325,2013.477428554589,2049.0692012815643,625433
2020-10-14,2034.6627197265625,2056.695718773997,2023.6462202028454,2048.2214883711376,838702
2020-10-15,2014.32470703125,2015.1721301305479,1965.6148438348355,2012.629860832654,639202
2020-10-16,2055.84814453125,2079.5759879141333,2027.8831862585662,2028.7306092365263,581914
2020-10-19,2017.714599609375,2081.2713383622954,1995.681596841696,2060.0857587779888,439432
2020-10-20,2042.2896728515625,2049.916480758477,2009.2401719215995,2010.0875950223679,513411
2020-10-21,2005.850341796875,2055.0008782667605,1992.2915731155272,2051.6111860964234,526362
2020-10-22,1990.5970458984375,2015.1723180700233,1972.8011591534962,1992.2918922550987,391971
2020-10-23,2012.6297607421875,2046.5266830283717,1986.2137882420516,1994.833876541941,468780
2020-10-26,1975.3433837890625,2045.6795059917617,1965.4953998116043,1982.1227690616117,453829
2020-10-27,1960.0897216796875,1991.4443778414463,1949.9206440056034,1967.7165299352503,416576
2020-10-28,1862.635986328125,1955.0051048494013,1847.3823704255287,1949.0731431095028,797955
2020-10-29,1827.044189453125,1876.7878836598766,1808.4008813974808,1864.3308055644131,862085
2020-10-30,1821.1123046875,1831.281382238105,1780.4359944850803,1796.5370339402048,727158
2020-11-02,1837.2132568359375,1873.6524496606355,1817.722525790169,1827.04417976858,852546
2020-11-03,1848.2294921875,1871.1099123108665,1843.1449543823073,1852.4666070251603,940421
2020-11-04,1864.3310546875,1874.5001331676135,1789.7578125,1789.7578125,613744
2020-11-05,1882.126708984375,1908.3968251385918,1860.9411314406518,1879.584439679128,1184343
2020-11-06,1911.7864990234375,1927.887537800674,1868.5679212529608,1877.8895752818873,536797
2020-11-09,1995.681396484375,2029.5783204161692,1919.4133176378384,1939.751471996915,1291782
2020-11-10,2081.27099609375,2081.27099609375,1982.1224999443327,1982.1224999443327,1315089
2020-11-11,2071.94970703125,2082.118785347968,2048.221857625575,2048.221857625575,696776
2020-11-12,2063.475341796875,2080.4238045631737,2037.819689040556,2057.5433798286704,596810
2020-11-13,2110.08349609375,2110.08349609375,2050.763879737701,2050.763879737701,596416
2020-11-16,2207.536865234375,2220.2482099478166,2117.710029259387,2150.7595255143356,936422
2020-11-17,2180.419677734375,2216.8588717268267,2141.4382143936127,2213.4691792624126,597236
2020-11-18,2160.9287109375,2174.487479319853,2129.5740590533087,2174.487479319853,542507
2020-11-19,2040.594970703125,2232.9600281572816,2033.815585418397,2160.929059507047,1728819
2020-11-20,1961.7845458984375,2056.695936455943,1937.2092751290834,2038.9000507264104,1286397
2020-11-23,1902.464599609375,2000.7656657807279,1902.464599609375,2000.7656657807279,1237960
2020-11-24,1916.0233154296875,1961.784155338225,1900.7697021268418,1925.344968003649,1434632
2020-11-25,1938.0565185546875,1971.9534406107382,1925.3451727836687,1947.3781721201015,1047217
2020-11-26,1906.4254150390625,1952.5899766588425,1894.4568249894899,1942.3311851877802,886568
2020-11-27,1922.66845703125,1938.0566438816559,1876.5038964800328,1905.5704716419104,1159761
2020-11-30,1901.2958984375,1957.3089130059848,1890.1822083836837,1905.5703946120448,1480747
2020-12-01,1951.7349853515625,1959.4290785921073,1903.860627410394,1903.860627410394,838160
2020-12-02,1950.8798828125,1964.558269370344,1924.9592818450133,1935.4916979349255,756235
2020-12-03,1979.091796875,1984.2211924608532,1940.6213299811016,1940.6213299811016,575421
2020-12-04,1993.625,2013.2876822469984,1966.2682246998286,1970.5427208404803,696947
2020-12-07,1987.6407470703125,2030.3857093728998,1954.2996764742943,2030.3857093728998,535235
2020-12-08,2039.7896728515625,2056.8876583742076,1976.5271264177757,1976.5271264177757,716362
2020-12-09,2058.597412109375,2072.2758002297032,2037.2249306713622,2059.4523113668956,530241
2020-12-10,2080.824951171875,2100.4876355913298,2052.9253034306876,2073.13085726861,1155587
2020-12-11,2043.2091064453125,2094.503058908375,2006.4484405134513,2094.503058908375,607129
2020-12-14,2060.30712890625,2079.1149118257263,2048.168436536601,2053.4679351173495,1239733
2020-12-15,2144.08740234375,2150.071697326368,2047.4837833386289,2077.4052582517193,973556
2020-12-16,2197.0908203125,2218.463299109314,2146.6517703520185,2159.475257630107,2525598
2020-12-17,2191.96142578125,2233.851484230268,2179.654300928209,2209.9143079736864,918036
2020-12-18,2121.85986328125,2204.785087591597,2109.0363749858357,2204.785087591597,1337399
2020-12-21,2117.585693359375,2183.4129434153588,2049.193745249262,2091.938712818083,396467
2020-12-22,2149.217041015625,2169.7346261327193,2107.326971401558,2109.0367701613154,1148122
2020-12-23,2129.553955078125,2158.62052853162,2108.181474597614,2144.942141024093,615270
2020-12-24,2111.60107421875,2161.2442955212555,2103.052082015435,2149.216639913335,91400
2020-12-29,2186.83251953125,2190.252116903465,2152.636545809104,2159.475740553533,480724
2020-12-30,2144.942138671875,2202.2203862968313,2144.942138671875,2178.283208184909,295843
2020-12-31,2073.130615234375,2125.279467823776,2068.9955411617043,2116.7304755960054,254150
2021-01-04,2144.942138671875,2184.26750271289,2095.2605138125055,2099.6324801028795,546221
2021-01-05,2186.83251953125,2193.6717142756793,2121.0052701161185,2121.0052701161185,579439
2021-01-06,2305.663330078125,2318.4868191219407,2166.314749135324,2218.463604580176,1434430
2021-01-07,2276.5966796875,2339.004324305295,2264.628090308745,2337.2945258226155,707177
2021-01-08,2295.404296875,2301.388591131285,2267.192623952514,2297.968994413408,547305
2021-01-11,2262.0634765625,2308.2280373086737,2249.239987466341,2288.565354027896,1223853
2021-01-12,2335.58447265625,2367.215741136587,2262.0631459181686,2262.0631459181686,671064
2021-01-13,2309.082763671875,2357.812018588312,2299.6788723722116,2342.423832825227,933777
2021-01-14,2382.604248046875,2382.604248046875,2296.2594224090085,2308.228012101386,655484
2021-01-15,2349.262939453125,2387.733402435436,2339.004149324509,2384.3138057258975,565478
2021-01-18,2361.231689453125,2368.0708833400276,2327.890619254475,2341.5690070282803,333391
2021-01-19,2339.859130859375,2399.7020753826328,2339.0042316518998,2383.4589904406057,458749
2021-01-20,2492.886474609375,2500.5805686668114,2342.424190819509,2351.8280835563755,937633
2021-01-21,2526.227294921875,2542.947504692473,2474.9333396950346,2512.5489068613842,816399
2021-01-22,2560.423095703125,2560.423095703125,2497.160555108123,2525.372228616705,787104
2021-01-25,2473.22314453125,2588.6345252819306,2455.270263081144,2574.1012402985116,731638
2021-01-26,2567.26220703125,2582.6503920883806,2461.2547099710187,2483.482088386874,734136
2021-01-27,2573.24658203125,2673.2697880437604,2526.1793303354634,2551.019202917359,1331338
2021-01-28,2529.64697265625,2606.640086862839,2503.145094943393,2538.195965466849,918779
2021-01-29,2523.66259765625,2580.0859484168573,2463.8196498798484,2580.0859484168573,855404
2021-02-01,2530.50146484375,2557.0624048111004,2515.1132802602406,2541.6151537096175,528254
2021-02-02,2560.423095703125,2561.2779949003548,2532.211422194543,2544.18001095576,630246
2021-02-03,2571.53662109375,2598.0384945159262,2541.6151511009703,2577.520915092306,577000
2021-02-04,2572.392333984375,2618.556902291173,2533.9218603953764,2586.9256240068858,467406
2021-02-05,2463.819580078125,2521.952727699677,2434.753006267349,2518.533130780762,943487
2021-02-08,2482.62744140625,2524.517504983697,2445.8667733688985,2479.2078443795194,564939
2021-02-09,2472.36865234375,2496.3058315503977,2454.4157679387645,2486.9019397192146,516049
2021-02-10,2478.35302734375,2517.678394455793,2450.996250222329,2488.611818764283,687572
2021-02-11,2529.64697265625,2529.64697265625,2450.996238798739,2477.498116511596,438098
2021-02-12,2567.26220703125,2569.826904540772,2519.387853520178,2519.387853520178,491832
2021-02-15,2633.089599609375,2643.3483902572034,2574.956452605012,2595.4740339006694,445496
2021-02-16,2636.5087890625,2665.5753580729165,2625.395100911458,2625.395100911458,637831
2021-02-17,2608.29736328125,2710.8852635086346,2604.0228674384425,2652.7521200464503,510127
2021-02-18,2604.02294921875,2632.2346226672785,2588.6347637013705,2601.45825163252,479831
2021-02-19,2674.125,2680.1092950767265,2596.3291640025577,2604.8781569693097,485941
2021-02-22,2704.901123046875,2725.418704258356,2639.073883326708,2667.285557492494,1649933
2021-02-23,2661.30126953125,2742.516695360183,2638.2189906114477,2703.191331274594,1420243
2021-02-24,2727.128662109375,2728.838460643613,2638.219138329007,2648.4779295344338,591143
2021-02-25,2662.156005859375,2760.4694100577785,2646.7678208544075,2760.4694100577785,583610
2021-02-26,2611.71728515625,2680.9641264320785,2600.603594581117,2618.5564793563317,882811
2021-03-01,2705.756591796875,2714.3055857677973,2627.960746661483,2627.960746661483,427197
2021-03-02,2765.599365234375,2779.277754676029,2703.1917134068294,2703.1917134068294,535015
2021-03-03,2821.167236328125,2821.167236328125,2732.257723425663,2761.324294951468,571420
2021-03-04,2716.86962890625,2804.9242455762765,2692.9324515590583,2804.0693463853054,694149
2021-03-05,2706.611083984375,2757.9050400927335,2663.0112212922704,2671.5602139769967,544881
2021-03-08,2755.340087890625,2776.71256762915,2711.7402292240345,2720.2892211194444,624467
2021-03-09,2753.630615234375,2772.4383996290217,2723.2303463665457,2745.0816223277175,905083
2021-03-10,2738.242431640625,2756.195316768459,2711.740553594774,2745.9365252668395,464847
2021-03-11,2701.4814453125,2764.7439854875397,2701.4814453125,2747.646001656448,473157
2021-03-12,2686.9482421875,2704.90112576559,2636.5091883252467,2674.97965313544,746821
2021-03-15,2672.415283203125,2726.2739405421516,2660.4466926833416,2701.4818601797424,424109
2021-03-16,2667.28564453125,2700.6267150878907,2651.0425588754506,2687.8032264122594,645638
2021-03-17,2579.231201171875,2677.54462117014,2577.52140256321,2669.8505274311456,1295435
2021-03-18,2603.16796875,2624.54044796798,2555.293615301724,2586.924884544335,943908
2021-03-19,2533.921142578125,2581.7954961491014,2529.646646723573,2572.3916052690884,1533165
2021-03-22,2536.48583984375,2553.5838232602905,2512.5486630605938,2521.952553939691,447267
2021-03-23,2526.227294921875,2529.6468919369977,2478.3529367101573,2510.839108353823,628995
2021-03-24,2566.407470703125,2573.246664495805,2505.709625793091,2507.419424241261,432785
2021-03-25,2587.780029296875,2587.780029296875,2527.937081807354,2554.4389585527133,532323
