Price,Close,High,Low,Open,Volume
Ticker,BATS.L,BATS.L,BATS.L,BATS.L,BATS.L
Date,,,,,
1995-05-23,984.1378784179688,984.1378784179688,984.1378784179688,984.1378784179688,0
1995-05-24,980.1197509765625,980.1197509765626,980.1197509765626,980.1197509765626,0
1995-05-25,984.1378784179688,984.1378784179688,984.1378784179688,984.1378784179688,0
1995-05-26,976.1697387695312,976.1697387695311,976.1697387695311,976.1697387695311,0
1995-05-29,976.1697387695312,976.1697387695311,976.1697387695311,976.1697387695311,0
1995-05-30,976.1697387695312,976.1697387695311,976.1697387695311,976.1697387695311,0
1995-05-31,982.0907592773438,982.0907592773436,982.0907592773436,982.0907592773436,0
1995-06-01,992.1080932617188,992.1080932617186,992.1080932617186,992.1080932617186,0
1995-06-02,990.1296997070312,990.1296997070312,990.1296997070312,990.1296997070312,0
1995-06-05,1001.1112060546875,1001.1112060546874,1001.1112060546874,1001.1112060546874,0
1995-06-06,1013.041259765625,1013.0412597656249,1013.0412597656249,1013.0412597656249,0
1995-06-07,1018.0823364257812,1018.0823364257812,1018.0823364257812,1018.0823364257812,0
1995-06-08,1022.033935546875,1022.033935546875,1022.033935546875,1022.033935546875,0
1995-06-09,992.1080932617188,992.1080932617186,992.1080932617186,992.1080932617186,0
1995-06-12,994.07958984375,994.0795898437501,994.0795898437501,994.0795898437501,0
1995-06-13,984.1378784179688,984.1378784179688,984.1378784179688,984.1378784179688,0
1995-06-14,986.109619140625,986.1096191406251,986.1096191406251,986.1096191406251,0
1995-06-15,998.0977783203125,998.0977783203125,998.0977783203125,998.0977783203125,0
1995-06-16,1006.0762329101562,1006.0762329101562,1006.0762329101562,1006.0762329101562,0
1995-06-19,1018.0823364257812,1018.0823364257812,1018.0823364257812,1018.0823364257812,0
1995-06-20,1002.0581665039062,1002.0581665039062,1002.0581665039062,1002.0581665039062,0
1995-06-21,992.1080932617188,992.1080932617186,992.1080932617186,992.1080932617186,0
1995-06-22,998.0977783203125,998.0977783203125,998.0977783203125,998.0977783203125,0
1995-06-23,990.1296997070312,990.1296997070312,990.1296997070312,990.1296997070312,0
1995-06-26,958.1654663085938,958.1654663085938,958.1654663085938,958.1654663085938,0
1995-06-27,958.1654663085938,958.1654663085938,958.1654663085938,958.1654663085938,0
1995-06-28,946.1773681640625,946.1773681640624,946.1773681640624,946.1773681640624,0
1995-06-29,952.1757202148438,952.1757202148436,952.1757202148436,952.1757202148436,0
1995-06-30,960.1521606445312,960.1521606445314,960.1521606445314,960.1521606445314,0
1995-07-03,978.1329345703125,978.1329345703126,978.1329345703126,978.1329345703126,0
1995-07-04,986.109619140625,986.1096191406251,986.1096191406251,986.1096191406251,0
1995-07-05,1006.0762329101562,1006.0762329101562,1006.0762329101562,1006.0762329101562,0
1995-07-06,1000.0864868164062,1000.0864868164062,1000.0864868164062,1000.0864868164062,0
1995-07-07,1010.028076171875,1010.0280761718749,1010.0280761718749,1010.0280761718749,0
1995-07-10,1010.028076171875,1010.0280761718749,1010.0280761718749,1010.0280761718749,0
1995-07-11,1014.0460815429688,1014.0460815429688,1014.0460815429688,1014.0460815429688,0
1995-07-12,1000.0864868164062,1000.0864868164062,1000.0864868164062,1000.0864868164062,0
1995-07-13,984.1378784179688,984.1378784179688,984.1378784179688,984.1378784179688,0
1995-07-14,982.0907592773438,982.0907592773436,982.0907592773436,982.0907592773436,0
1995-07-17,992.1080932617188,992.1080932617186,992.1080932617186,992.1080932617186,0
1995-07-18,974.1143798828125,974.1143798828125,974.1143798828125,974.1143798828125,0
1995-07-19,976.1697387695312,976.1697387695311,976.1697387695311,976.1697387695311,0
1995-07-20,976.1697387695312,976.1697387695311,976.1697387695311,976.1697387695311,0
1995-07-21,972.1428833007812,972.1428833007812,972.1428833007812,972.1428833007812,0
1995-07-24,990.1296997070312,990.1296997070312,990.1296997070312,990.1296997070312,0
1995-07-25,1008.0567016601562,1008.0567016601562,1008.0567016601562,1008.0567016601562,0
1995-07-26,1040.0208740234375,1040.0208740234375,1040.0208740234375,1040.0208740234375,0
1995-07-27,1036.0023193359375,1036.0023193359375,1036.0023193359375,1036.0023193359375,0
1995-07-28,1036.0023193359375,1036.0023193359375,1036.0023193359375,1036.0023193359375,0
1995-07-31,1046.019287109375,1046.019287109375,1046.019287109375,1046.019287109375,0
1995-08-01,1042.0006103515625,1042.0006103515625,1042.0006103515625,1042.0006103515625,0
1995-08-02,1055.9693603515625,1055.9693603515625,1055.9693603515625,1055.9693603515625,0
1995-08-03,1046.019287109375,1046.019287109375,1046.019287109375,1046.019287109375,4565405
1995-08-04,1062.989990234375,1062.989990234375,1062.989990234375,1062.989990234375,5539270
1995-08-07,-1206.1195068359375,-1206.1195068359375,-1206.1195068359375,-1206.1195068359375,3660212
1995-08-08,-1192.3223876953125,-1192.3223876953125,-1192.3223876953125,-1192.3223876953125,3037404
1995-08-09,-1196.947265625,-1196.947265625,-1196.947265625,-1196.947265625,1394842
1995-08-10,-1176.24609375,-1176.24609375,-1176.24609375,-1176.24609375,5036035
1995-08-11,-1160.1600341796875,-1160.1600341796875,-1160.1600341796875,-1160.1600341796875,4679095
1995-08-14,-1147.5421142578125,-1147.5421142578125,-1147.5421142578125,-1147.5421142578125,3462885
1995-08-15,-1144.073974609375,-1144.073974609375,-1144.073974609375,-1144.073974609375,2854834
1995-08-16,-1176.24609375,-1176.24609375,-1176.24609375,-1176.24609375,3082148
1995-08-17,-1185.428466796875,-1185.428466796875,-1185.428466796875,-1185.428466796875,2632453
1995-08-18,-1211.8541259765625,-1211.8541259765625,-1211.8541259765625,-1211.8541259765625,3286694
1995-08-21,-1229.0997314453125,-1229.0997314453125,-1229.0997314453125,-1229.0997314453125,3888794
1995-08-22,-1213.033203125,-1213.033203125,-1213.033203125,-1213.033203125,1892453
1995-08-23,-1187.764404296875,-1187.764404296875,-1187.764404296875,-1187.764404296875,7530892
1995-08-24,-1185.428466796875,-1185.428466796875,-1185.428466796875,-1185.428466796875,0
1995-08-25,-1187.764404296875,-1187.764404296875,-1187.764404296875,-1187.764404296875,1827561
1995-08-28,-1187.764404296875,-1187.764404296875,-1187.764404296875,-1187.764404296875,0
1995-08-29,-1169.3424072265625,-1169.3424072265625,-1169.3424072265625,-1169.3424072265625,2207497
1995-08-30,-1173.9669189453125,-1173.9669189453125,-1173.9669189453125,-1173.9669189453125,1863582
1995-08-31,-1157.880859375,-1157.880859375,-1157.880859375,-1157.880859375,2309750
1995-09-01,-1168.2330322265625,-1168.2330322265625,-1168.2330322265625,-1168.2330322265625,2623645
1995-09-04,-1185.428466796875,-1185.428466796875,-1185.428466796875,-1185.428466796875,1155906
1995-09-05,-1187.764404296875,-1187.764404296875,-1187.764404296875,-1187.764404296875,1685321
1995-09-06,-1193.4990234375,-1193.4990234375,-1193.4990234375,-1193.4990234375,5669883
1995-09-07,-1190.053955078125,-1190.053955078125,-1190.053955078125,-1190.053955078125,2685770
1995-09-08,-1192.3223876953125,-1192.3223876953125,-1192.3223876953125,-1192.3223876953125,2622396
1995-09-11,-1196.947265625,-1196.947265625,-1196.947265625,-1196.947265625,1758134
1995-09-12,-1192.3223876953125,-1192.3223876953125,-1192.3223876953125,-1192.3223876953125,1959382
1995-09-13,-1208.40869140625,-1208.40869140625,-1208.40869140625,-1208.40869140625,2780567
1995-09-14,-1207.2984619140625,-1207.2984619140625,-1207.2984619140625,-1207.2984619140625,2765845
1995-09-15,-1206.1195068359375,-1206.1195068359375,-1206.1195068359375,-1206.1195068359375,6894820
1995-09-18,-1194.677734375,-1194.677734375,-1194.677734375,-1194.677734375,1759050
1995-09-19,-1204.94091796875,-1204.94091796875,-1204.94091796875,-1204.94091796875,2628439
1995-09-20,-1209.5850830078125,-1209.5850830078125,-1209.5850830078125,-1209.5850830078125,4146748
1995-09-21,-1204.94091796875,-1204.94091796875,-1204.94091796875,-1204.94091796875,3791019
1995-09-22,-1192.3223876953125,-1192.3223876953125,-1192.3223876953125,-1192.3223876953125,2849494
1995-09-25,-1203.8509521484375,-1203.8509521484375,-1203.8509521484375,-1203.8509521484375,3770447
1995-09-26,-1206.1195068359375,-1206.1195068359375,-1206.1195068359375,-1206.1195068359375,1413531
1995-09-27,-1196.947265625,-1196.947265625,-1196.947265625,-1196.947265625,2456845
1995-09-28,-1186.5877685546875,-1186.5877685546875,-1186.5877685546875,-1186.5877685546875,4500402
1995-09-29,-1215.302490234375,-1215.302490234375,-1215.302490234375,-1215.302490234375,4143013
1995-10-02,-1215.302490234375,-1215.302490234375,-1215.302490234375,-1215.302490234375,1186398
1995-10-03,-1215.302490234375,-1215.302490234375,-1215.302490234375,-1215.302490234375,1660301
1995-10-04,-1249.7314453125,-1249.7314453125,-1249.7314453125,-1249.7314453125,6584774
1995-10-05,-1250.919677734375,-1250.919677734375,-1250.919677734375,-1250.919677734375,5507881
1995-10-06,-1240.5611572265625,-1240.5611572265625,-1240.5611572265625,-1240.5611572265625,2317413
1995-10-09,-1222.2059326171875,-1222.2059326171875,-1222.2059326171875,-1222.2059326171875,2835045
1995-10-10,-1224.4747314453125,-1224.4747314453125,-1224.4747314453125,-1224.4747314453125,8255382
1995-10-11,-1249.7314453125,-1249.7314453125,-1249.7314453125,-1249.7314453125,10199732
1995-10-12,-1254.3662109375,-1254.3662109375,-1254.3662109375,-1254.3662109375,3126438
1995-10-13,-1275.0767822265625,-1275.0767822265625,-1275.0767822265625,-1275.0767822265625,7668262
1995-10-16,-1261.2696533203125,-1261.2696533203125,-1261.2696533203125,-1261.2696533203125,2103144
1995-10-17,-1263.5380859375,-1263.5380859375,-1263.5380859375,-1263.5380859375,3095167
1995-10-18,-1258.9935302734375,-1258.9935302734375,-1258.9935302734375,-1258.9935302734375,6695190
1995-10-19,-1234.83447265625,-1234.83447265625,-1234.83447265625,-1234.83447265625,3323807
1995-10-20,-1222.2059326171875,-1222.2059326171875,-1222.2059326171875,-1222.2059326171875,3191890
1995-10-23,-1215.302490234375,-1215.302490234375,-1215.302490234375,-1215.302490234375,3036877
1995-10-24,-1222.2059326171875,-1222.2059326171875,-1222.2059326171875,-1222.2059326171875,2008734
1995-10-25,-1229.0997314453125,-1229.0997314453125,-1229.0997314453125,-1229.0997314453125,2982993
1995-10-26,-1222.2059326171875,-1222.2059326171875,-1222.2059326171875,-1222.2059326171875,2376450
1995-10-27,-1206.1195068359375,-1206.1195068359375,-1206.1195068359375,-1206.1195068359375,3074173
1995-10-30,-1203.8509521484375,-1203.8509521484375,-1203.8509521484375,-1203.8509521484375,1864242
1995-10-31,-1192.3223876953125,-1192.3223876953125,-1192.3223876953125,-1192.3223876953125,4065420
1995-11-01,-1190.053955078125,-1190.053955078125,-1190.053955078125,-1190.053955078125,3084456
1995-11-02,-1217.581298828125,-1217.581298828125,-1217.581298828125,-1217.581298828125,2857127
1995-11-03,-1208.40869140625,-1208.40869140625,-1208.40869140625,-1208.40869140625,2096143
1995-11-06,-1238.2818603515625,-1238.2818603515625,-1238.2818603515625,-1238.2818603515625,1630615
1995-11-07,-1224.4747314453125,-1224.4747314453125,-1224.4747314453125,-1224.4747314453125,2227577
1995-11-08,-1256.6448974609375,-1256.6448974609375,-1256.6448974609375,-1256.6448974609375,5037280
1995-11-09,-1249.7314453125,-1249.7314453125,-1249.7314453125,-1249.7314453125,5011019
1995-11-10,-1224.4747314453125,-1224.4747314453125,-1224.4747314453125,-1224.4747314453125,2612154
1995-11-13,-1229.0997314453125,-1229.0997314453125,-1229.0997314453125,-1229.0997314453125,912730
1995-11-14,-1226.830810546875,-1226.830810546875,-1226.830810546875,-1226.830810546875,2022590
1995-11-15,-1247.4547119140625,-1247.4547119140625,-1247.4547119140625,-1247.4547119140625,1002001
1995-11-16,-1272.71142578125,-1272.71142578125,-1272.71142578125,-1272.71142578125,3269801
1995-11-17,-1272.71142578125,-1272.71142578125,-1272.71142578125,-1272.71142578125,3554769
1995-11-20,-1281.9708251953125,-1281.9708251953125,-1281.9708251953125,-1281.9708251953125,3258665
1995-11-21,-1298.0570068359375,-1298.0570068359375,-1298.0570068359375,-1298.0570068359375,7976767
1995-11-22,-1330.2091064453125,-1330.2091064453125,-1330.2091064453125,-1330.2091064453125,7428608
1995-11-23,-1316.4119873046875,-1316.4119873046875,-1316.4119873046875,-1316.4119873046875,6963939
1995-11-24,-1304.87451171875,-1304.87451171875,-1304.87451171875,-1304.87451171875,3385746
1995-11-27,-1307.2294921875,-1307.2294921875,-1307.2294921875,-1307.2294921875,2400454
1995-11-28,-1293.4317626953125,-1293.4317626953125,-1293.4317626953125,-1293.4317626953125,214847
1995-11-29,-1272.71142578125,-1272.71142578125,-1272.71142578125,-1272.71142578125,5117907
1995-11-30,-1280.7939453125,-1280.7939453125,-1280.7939453125,-1280.7939453125,8313979
1995-12-01,-1280.7939453125,-1280.7939453125,-1280.7939453125,-1280.7939453125,3071644
1995-12-04,-1272.71142578125,-1272.71142578125,-1272.71142578125,-1272.71142578125,0
1995-12-05,-1288.797119140625,-1288.797119140625,-1288.797119140625,-1288.797119140625,2771620
1995-12-06,-1295.6907958984375,-1295.6907958984375,-1295.6907958984375,-1295.6907958984375,2604869
1995-12-07,-1279.625244140625,-1279.625244140625,-1279.625244140625,-1279.625244140625,1322141
1995-12-08,-1260.0931396484375,-1260.0931396484375,-1260.0931396484375,-1260.0931396484375,5765388
1995-12-11,-1281.9708251953125,-1281.9708251953125,-1281.9708251953125,-1281.9708251953125,0
1995-12-12,-1286.518798828125,-1286.518798828125,-1286.518798828125,-1286.518798828125,5335401
1995-12-13,-1311.7777099609375,-1311.7777099609375,-1311.7777099609375,-1311.7777099609375,12013235
1995-12-14,-1300.325439453125,-1300.325439453125,-1300.325439453125,-1300.325439453125,0
1995-12-15,-1264.7177734375,-1264.7177734375,-1264.7177734375,-1264.7177734375,13115187
1995-12-18,-1256.6448974609375,-1256.6448974609375,-1256.6448974609375,-1256.6448974609375,2241831
1995-12-19,-1249.7314453125,-1249.7314453125,-1249.7314453125,-1249.7314453125,5456748
1995-12-20,-1272.71142578125,-1272.71142578125,-1272.71142578125,-1272.71142578125,4786256
